zip,city,state_id,state_name,population
1012,Chesterfield,MA,Massachusetts,387
1013,Chicopee,MA,Massachusetts,22950
1020,Chicopee,MA,Massachusetts,30230
1022,Chicopee,MA,Massachusetts,2045
1026,Cummington,MA,Massachusetts,1005
1027,Easthampton,MA,Massachusetts,17678
1028,East Longmeadow,MA,Massachusetts,16283
1029,East Otis,MA,Massachusetts,652
1030,Feeding Hills,MA,Massachusetts,12374
1031,Gilbertville,MA,Massachusetts,1715
1032,Goshen,MA,Massachusetts,503
1033,Granby,MA,Massachusetts,6088
1034,Granville,MA,Massachusetts,2100
1035,Hadley,MA,Massachusetts,5299
1036,Hampden,MA,Massachusetts,4937
1037,Hardwick,MA,Massachusetts,486
1038,Hatfield,MA,Massachusetts,2534
1039,Haydenville,MA,Massachusetts,1660
1040,Holyoke,MA,Massachusetts,37949
1050,Huntington,MA,Massachusetts,2573
1053,Leeds,MA,Massachusetts,2033
1054,Leverett,MA,Massachusetts,1704
1056,Ludlow,MA,Massachusetts,20846
1057,Monson,MA,Massachusetts,8200
1060,Northampton,MA,Massachusetts,15237
1062,Florence,MA,Massachusetts,9188
1063,Northampton,MA,Massachusetts,2121
1066,North Hatfield,MA,Massachusetts,115
1068,Oakham,MA,Massachusetts,1623
1069,Palmer,MA,Massachusetts,9077
1070,Plainfield,MA,Massachusetts,593
1071,Russell,MA,Massachusetts,1219
1072,Shutesbury,MA,Massachusetts,1447
1073,Southampton,MA,Massachusetts,6212
1074,South Barre,MA,Massachusetts,749
1075,South Hadley,MA,Massachusetts,17410
1077,Southwick,MA,Massachusetts,9222
1079,Thorndike,MA,Massachusetts,282
1080,Three Rivers,MA,Massachusetts,2308
1081,Wales,MA,Massachusetts,1704
1082,Ware,MA,Massachusetts,10418
1083,Warren,MA,Massachusetts,2746
1084,West Chesterfield,MA,Massachusetts,101
1085,Westfield,MA,Massachusetts,41466
1088,West Hatfield,MA,Massachusetts,654
1089,West Springfield,MA,Massachusetts,28635
1092,West Warren,MA,Massachusetts,1123
1093,Whately,MA,Massachusetts,149
1094,Wheelwright,MA,Massachusetts,64
1095,Wilbraham,MA,Massachusetts,14615
1096,Williamsburg,MA,Massachusetts,2566
1097,Woronoco,MA,Massachusetts,45
1098,Worthington,MA,Massachusetts,1019
1103,Springfield,MA,Massachusetts,2336
1104,Springfield,MA,Massachusetts,21745
1105,Springfield,MA,Massachusetts,11469
1106,Longmeadow,MA,Massachusetts,15961
1107,Springfield,MA,Massachusetts,12270
1108,Springfield,MA,Massachusetts,27409
1109,Springfield,MA,Massachusetts,31418
1118,Springfield,MA,Massachusetts,15009
1119,Springfield,MA,Massachusetts,14059
1128,Springfield,MA,Massachusetts,3252
1129,Springfield,MA,Massachusetts,5993
1144,Springfield,MA,Massachusetts,0
1151,Indian Orchard,MA,Massachusetts,9627
1201,Pittsfield,MA,Massachusetts,45072
1220,Adams,MA,Massachusetts,8106
1222,Ashley Falls,MA,Massachusetts,611
1223,Becket,MA,Massachusetts,2588
1224,Berkshire,MA,Massachusetts,201
1225,Cheshire,MA,Massachusetts,3234
1226,Dalton,MA,Massachusetts,6304
1229,Glendale,MA,Massachusetts,213
1230,Great Barrington,MA,Massachusetts,8813
1235,Hinsdale,MA,Massachusetts,2456
1236,Housatonic,MA,Massachusetts,1593
1237,Lanesborough,MA,Massachusetts,2269
1238,Lee,MA,Massachusetts,5893
1240,Lenox,MA,Massachusetts,5024
1242,Lenox Dale,MA,Massachusetts,165
1243,Middlefield,MA,Massachusetts,196
1244,Mill River,MA,Massachusetts,243
1245,Monterey,MA,Massachusetts,828
1247,North Adams,MA,Massachusetts,14967
1253,Otis,MA,Massachusetts,903
1254,Richmond,MA,Massachusetts,962
1255,Sandisfield,MA,Massachusetts,850
1256,Savoy,MA,Massachusetts,733
1257,Sheffield,MA,Massachusetts,2331
1258,South Egremont,MA,Massachusetts,191
1259,Southfield,MA,Massachusetts,778
1260,South Lee,MA,Massachusetts,20
1262,Stockbridge,MA,Massachusetts,1652
1264,Tyringham,MA,Massachusetts,184
1266,West Stockbridge,MA,Massachusetts,919
1267,Williamstown,MA,Massachusetts,7985
1270,Windsor,MA,Massachusetts,1002
1301,Greenfield,MA,Massachusetts,17876
1330,Ashfield,MA,Massachusetts,1711
1331,Athol,MA,Massachusetts,13865
1337,Bernardston,MA,Massachusetts,2515
1338,Buckland,MA,Massachusetts,79
1339,Charlemont,MA,Massachusetts,1361
1340,Colrain,MA,Massachusetts,1807
1341,Conway,MA,Massachusetts,1605
1342,Deerfield,MA,Massachusetts,1313
1343,Drury,MA,Massachusetts,190
1344,Erving,MA,Massachusetts,1639
1346,Heath,MA,Massachusetts,453
1347,Lake Pleasant,MA,Massachusetts,114
1349,Millers Falls,MA,Massachusetts,753
1350,Monroe Bridge,MA,Massachusetts,115
1351,Montague,MA,Massachusetts,2644
1354,Gill,MA,Massachusetts,1831
1355,New Salem,MA,Massachusetts,963
1360,Northfield,MA,Massachusetts,2875
1364,Orange,MA,Massachusetts,7668
1366,Petersham,MA,Massachusetts,1173
1367,Rowe,MA,Massachusetts,574
1368,Royalston,MA,Massachusetts,1497
1370,Shelburne Falls,MA,Massachusetts,3641
1373,South Deerfield,MA,Massachusetts,4784
1375,Sunderland,MA,Massachusetts,3653
1376,Turners Falls,MA,Massachusetts,5032
1378,Warwick,MA,Massachusetts,861
1379,Wendell,MA,Massachusetts,742
1380,Wendell Depot,MA,Massachusetts,32
1420,Fitchburg,MA,Massachusetts,41677
1430,Ashburnham,MA,Massachusetts,6450
1431,Ashby,MA,Massachusetts,3188
1432,Ayer,MA,Massachusetts,8124
1434,Devens,MA,Massachusetts,1889
1436,Baldwinville,MA,Massachusetts,3720
1438,East Templeton,MA,Massachusetts,192
1440,Gardner,MA,Massachusetts,21298
1450,Groton,MA,Massachusetts,11228
1451,Harvard,MA,Massachusetts,5359
1452,Hubbardston,MA,Massachusetts,4339
1453,Leominster,MA,Massachusetts,43635
1460,Littleton,MA,Massachusetts,10150
1462,Lunenburg,MA,Massachusetts,11822
1463,Pepperell,MA,Massachusetts,11693
1464,Shirley,MA,Massachusetts,7017
1468,Templeton,MA,Massachusetts,4157
1469,Townsend,MA,Massachusetts,6803
1473,Westminster,MA,Massachusetts,8289
1474,West Townsend,MA,Massachusetts,2249
